Title,Director,Cast,Genre,comb
cheppukondi chuddam,K Ranga Rao,"Suman, M. S. Narayana, Tirupathi Prakash",Comedy,"K Ranga Rao Suman, M. S. Narayana, Tirupathi Prakash Comedy"
budget padmanabham,S. V. Krishna Reddy,"Jagapati Babu, Ravi Teja, Ramya Krishnan",Comedy Drama,"S. V. Krishna Reddy Jagapati Babu, Ravi Teja, Ramya Krishnan Comedy Drama"
pillalu techina annala rajyam,C. H. M. Krishna,"Prasad Babu, Ravindra, Narasimha Raju",Drama,"C. H. M. Krishna Prasad Babu, Ravindra, Narasimha Raju Drama"
madhura kshanam,Aalla Rambabu,"Chalapathi, Aarti Chhabria",Romance,"Aalla Rambabu Chalapathi, Aarti Chhabria Romance"
sorry aunty,Natti Kumar,"Uttej, Gundu Hanumantha Rao, Tirupathi Prakash",Comedy,"Natti Kumar Uttej, Gundu Hanumantha Rao, Tirupathi Prakash Comedy"
maa ayana sundarayya,Hari Babu,"Srihari, Sangeeta Kota Srinivasa Rao",Drama,"Hari Babu Srihari, Sangeeta Kota Srinivasa Rao Drama"
ammo bomma,Relangi Narasimha Rao,"Rajendra Prasad, Suman",Horror Comedy,"Relangi Narasimha Rao Rajendra Prasad, Suman Horror Comedy"
priyamaina neeku,Balasekaran,"Tarun Kumar, Sneha",Romance,"Balasekaran Tarun Kumar, Sneha Romance"
malli inkoka sari,Sahadev Reddy,"Sri Madhav, Sahana, Snehita",Romance,"Sahadev Reddy Sri Madhav, Sahana, Snehita Romance"
soori,Sankara Kumar,"J. D. Chakravarthy, Priyanka Upendra, Tanikella Bharani",Drama,"Sankara Kumar J. D. Chakravarthy, Priyanka Upendra, Tanikella Bharani Drama"
navvuthu bratakalira,Kodi Ramakrishna,"J. D. Chakravarthy, Sangeeta",Drama,"Kodi Ramakrishna J. D. Chakravarthy, Sangeeta Drama"
shivudu,Gosangi Krishna Rao,"Suresh, Satyaprakash, Betha Sudhakar, M. S. Narayana",Action,"Gosangi Krishna Rao Suresh, Satyaprakash, Betha Sudhakar, M. S. Narayana Action"
simharasi,V. Samudra,"Rajasekhar, Sakshi Shivanand",Family,"V. Samudra Rajasekhar, Sakshi Shivanand Family"
devi putrudu,Kodi Ramakrishna,"Venkatesh, Soundarya, Anjala Zaveri",Fantasy,"Kodi Ramakrishna Venkatesh, Soundarya, Anjala Zaveri Fantasy"
narasimha naidu,B. Gopal,"Nandamuri Balakrishna, Simran, K. Vishwanath",Drama,"B. Gopal Nandamuri Balakrishna, Simran, K. Vishwanath Drama"
