Year,Month,Title,Director,Cast,Genre
2002,MAR,Neetho Cheppalani,B. Satya Naidu,"Akash, Anupriya, M. S. Narayana",Romance
2002,MAR,Parasuram,,"Srihari, Sanghavi",Action
2002,MAR,Nee Premakai,Muppulaneni Siva,"Vineeth, Abbas, Laya, Sonia Agarwal",Romance
2002,FEB,Seshu,Jeevitha Rajashekar,"Rajasekhar, Kalyani, Nassar",Action
2002,FEB,Lagna Patrika,Subburaju,"Babloo Prithviraj, Sanghavi, Brahmanandam, Phaniraj Kumar",Romance
2002,FEB,Ramana,Siva Nageswara Rao,"Rajendra Prasad, Mahi, Brahmanandam, Tanikella Bharani",Action / Comedy
2002,FEB,Action No. 1,,"Ram, Lakshman, Thriller Manju",Action
2002,FEB,Chandravamsam,J. K. Bharavi,"Krishna Ghattamaneni, Jaya Pradha, Sivaji, Rohith",Drama
2002,FEB,Nenu Ninnu Premistunnanu,G. Haribabu,"Prasanna, Keerthi Shaheen, Amrutha, Ahuti Prasad",Romance
2002,FEB,Kondaveeti Simhasanam,Dasari Narayana Rao,"Mohan Babu, Soundarya, Udaya Bhanu",Action
2002,FEB,Kalusukovalani,Raghu Raj,"Uday Kiran, Gajala, Pratyusha",Romance
2002,FEB,Raghava,Y. Nageswara Rao,"Suresh, Rajasri, Kota Srinivasa Rao, Brahmanandam",Drama
2002,FEB,Neethone Vuntanu,T. Prabhakar,"Upendra, Sanghavi, Rachana Banerjee",Romance
2002,JAN,O Chinnadana,E. Sathibabu,"Srikanth, Raja, Gajala, Asha Saini, Shruthi Raj",Comedy
2002,JAN,Priya Nestama,R. Ganapathy,"Venu, Malavika, Shama",Romance
2002,JAN,Nuvvu Leka Nenu Lenu,Kashi Vishwanath,"Tarun, Aarthi Agarwal, Laya, Sarath Babu",Romance
2002,JAN,Takkari Donga,Jayanth C. Paranjee,"Mahesh Babu, Lisa Ray, Bipasha Basu, Krishna Ghattamaneni",Action
2002,JAN,Seema Simham,G. Ram Prasad,"Nandamuri Balakrishna, Simran, Reemma Sen, P. Vasu",Action
2002,MAR,Mee Kosam,V. Janardhan,"Ramyasri, Samaram, Sharmila",Documentary
2002,MAR,Nuvvunte Chaalu,Achyuth Reddy,"Adarsha, Sonali Raj",Romance
2002,JAN,Premaku Swagatam,S. V. Krishna Reddy,"J. D. Chakravarthy, Soundarya",Romance
2002,MAR,Chelia Chelia Chiru Kopama,Sai Shyam,"Nivas, Shikha Sinha",Romance
2002,MAR,Entha Bagundo,Bharadwaja Thammareddy,"Sai Kiran, Rohith, Laya",Romance
2002,JUN,Devi Nagamma,Alahari,"Prema, Baby Deepika, Jackie, Mani Chandana, Mada, Somayajulu, Jeeva",Drama
2002,MAY,Vooru Manadiraa,R. Narayana Murthy,"R. Narayana Murthy, Siddappa Naidu",Drama
2002,MAY,Hai,E. V. V. Satyanarayana,"Aryan Rajesh, Nikita Thukral",Romance
2002,MAY,Sahasa Baludu Vichitra Kothi,Dasharatha Raju,"Vijayashanti, Brahmanandam, Sarath Babu, Sudha",Adventure
2002,MAY,Manasutho,Ravi Kumar Chowdary,"Aakash, Arjoo Govithrikar, Khayyam",Romance
2002,MAY,Allari,Ravi Babu,"Naresh, Anuradha Mehta",Comedy
2002,MAY,Santosham,Dasaradh,"Akkineni Nagarjuna, Gracy Singh, Prabhu Deva, Shriya Saran",Drama
2002,MAY,Vendi Mabbulu,Raviraja Pinisetty,"Balayya, Pulakit, Anil, Mona Chopra, Meghana Naidu, Mitika",Romance
2002,MAY,Lahiri Lahiri Lahirilo,Y. V. S. Chowdary,"Nandamuri Harikrishna, Bhanupriya, Rachana Banerjee, Ankitha",Drama
2002,JUN,Jayam,Teja,"Nitin, Sadha, Tottempudi Gopichand",Action / Romance
2002,APR,Manasunte Chaalu,Jonnalagadda Srinivasa Rao,"Sai Kiran, Sivaji, Jennifer Kotwal",Romance
2002,APR,Mounamelanoyi,Shyam Prasad,"Sachin, Sampadha, Chalapathi Rao",Romance
2002,MAR,Nee Thodu Kavali,Bheemaneni Srinivas Rao,"Deepak, Charmy Kaur, Rimi Sen",Romance
2002,APR,Vasu,A. Karunakaran,"Venkatesh, Bhoomika Chawla",Romance
2002,APR,Priyadarshini,Dhavala Mallik,"Surya Vamsi, Sunitha Varma, Brahmanandam",Drama
2002,APR,Aaduthu Paaduthu,Devi Prasad,"Srikanth, Sunil, Gayatri Jayaraman",Romance
2002,APR,Bejawada Police Station,Chimakurthi Hari Babu,"Keshav, Shilpa Shivanand, Brahmaji, Ali, Chinna",Drama
2002,APR,Friends,,"Sivaji, Ali",Comedy
2002,APR,Narahari,Thriller Manju,"Sai Kumar, Thriller Manju, Sreedevi",Action
2002,MAR,Aadi,V. V. Vinayak,"Jr. NTR, Keerthi Chawla",Action
2003,SEP,Tagore,V. V. Vinayak,"Chiranjeevi, Jyothika, Shriya Saran",Action / Drama
2003,AUG,Aadanthe Ado Type,E. V. V. Satyanarayana,"Sivaji, Aryan Rajesh, Bhoomika Chawla, Anitha Hassandhani",Comedy
2003,SEP,Okato Number Kurradu,A. Kodandarami Reddy,"Nandamuri Taraka Ratna, Rekha Vedavyas, Brahmanandam",Action / Romance
2003,SEP,Pellamtho Panenti,S. V. Krishna Reddy,"Venu Thottempudi, Laya, Kalyani",Comedy
2003,SEP,Janaki Weds Sriram,Anji,"Rohith, Gajala, Rekha Vedavyas",Romance
2003,SEP,Oka Radha Iddaru Krishnula Pelli,G. Nageswara Reddy,"Srikanth, Prabhu Deva, Namitha, Tanikella Bharani, Chandra Mohan",Comedy
2003,SEP,Vishnu,Shaji Kailas,"Vishnu Manchu, Vedhika, Neetu Chandra",Action / Romance
2003,AUG,Neeku Nenu Naaku Nuvvu,Raja Shekar,"Uday Kiran, Shriya Saran, Krishnam Raju, Suman",Romance
2003,AUG,Charminar,Sagar,"Venkat, Abhirami, Prakash Raj",Romance
2003,AUG,Anaganaga O Kurradu,L P Ramarao,"Rohith, Rekha Vedavyas, Rajiv Kanikala",Romance
2003,OCT,Ela Cheppanu,Ramana,"Tarun, Shriya Saran, Sunil",Romance
2003,AUG,Simhachalam,Indra Kumar,"Srihari, Meena, Prakash Raj, Suresh, Sunil",Action
2003,AUG,Dongodu,Bheemineni Srinivas,"Ravi Teja, Kalyani, Rekha Vedavyas, Tanikella Bharani",Action / Comedy
2003,JUL,Sambaram,K. Dasaradh,"Nitin, Nikita Thukral, Giri Babu, Seetha",Romance
2003,JUL,City,Ambati Subhash,"Mukesh Udeshi, Swapna Reddy, Vaibhavi",Action
2003,JUL,Dhum,Raju Voopati,"Jagapati Babu, Chaitanya Krishna, Neha Mehta, Sonia Agarwal",Action
2003,AUG,Seetayya,YVS Chowdhary,"Nandamuri Harikrishna, Simran, Soundarya, Vindhiya",Action
2003,OCT,Toli Choopulone,Kasi Viswanath,"Kalyan Ram, Akanksha, Charanraj, Sudeepa",Romance / Action
2003,NOV,Srirama Chandrulu,Srikanth,"Rajendra Prasad, Sivaji, Raasi, Rambha, Sindhu Menon, Brahmanandam, Kovai Sarala, Venu Madhav",Comedy
2003,OCT,Ori Nee Prema Bangaram Kaanu,AVS,"Rajesh Krishnan, Sangeetha, Giri Babu, Bramhanandam",Romance
2003,DEC,Satyam,Surya Kiran,"Sumanth, Genelia D'Souza, Brahmanandam, Kota Srinivasa Rao",Romance / Action
2003,JUL,Shambhu,R. Suresh Verma,"Aryan Rajesh, Sarika, Chandra Mohan, Venu Madhav, Prakash Raj, Sanghavi",Romance
2003,DEC,Tiger Harischandraprasad,V. Samudra,"Nandamuri Harikrishna, Ramya Krishna, Sangeetha, Kota Srinivasa Rao",Action
2003,DEC,Avuna,C. Uma Maheshwar Rao,"Adarsh, Santhi Rao, Kota Srinivasa Rao",Romance
2003,DEC,Neeke Manasichaanu,Surya Teja,"Srikanth, Charmee Kaur, Anvithaa, Brahmanandam",Romance
2003,DEC,Maa Alludu Very Good,E V V Satyanarayana,"Rajendra Prasad, Allari Naresh, Ramya Krishna, Mounika, Kovai Sarala",Comedy
2003,DEC,Nee Manasu Naaku Telusu,Jyoti Krishna,"Tarun, Trisha Krishnan, Shriya Saran, Sunil, Reema Sen, Archana Puran Singh",Romance
2003,OCT,Okariki Okaru,Rasool,"Srikanth, Aarti Chabria, Balayya, Tanikella Bharani",Romance
2003,NOV,Missamma,Neelakanta,"Bhoomika Chawla, Sivaji, Laya, Tanikella Bharani",Drama
2003,NOV,Back Pocket,,"Vijay Sai, Sony Raj, Suman, Lavanya, Preeti Nigam, Anant, Sudarshan, Jenny, Seema, Vinod Bala",Romance
2003,NOV,Nenu Pelliki Ready,Venky,"Srikanth, Laya, Sangeetha, Anitha Hassandani",Comedy
2003,NOV,Goa,P. Kishore Kumar,"Sumit Roy, Subhash Chandra, Krishna Teja",Drama
2003,NOV,Abhimanyu,A Mallikarjun,"Kalyan Ram, Divya Spandana, Suhasini, Sowcar Janaki, Ali",Romance
2003,NOV,Nenu Seethamahalaxmi,G Nageshwara Reddy,"Rohith, Shravya, Chalapathi Rao",Romance
2003,OCT,Veede,Ravi Raja Pinisetty,"Ravi Teja, Reema Sen, Aarti Agarwal, Shayaji Shinde",Action
2003,OCT,Shivamani,Puri Jagannadh,"Akkineni Nagarjuna, Asin Thottumkal, Rakshita, Prakash Raj",Action
2003,NOV,Chantigadu,Jaya,"Baladithya, Suhasini, Saranya, Brahmanandam",Romance
2003,NOV,Villan,K. S. Ravikumar,"Rajasekhar, Neha Dhupia, Tulip Joshi, Naresh",Thriller / Action
2003,JUL,Kalyana Ramudu,G. Ramprasad,"Venu Thottempudi, Prabhu Deva, Nikita Thukral, Suman, Sunil",Comedy / Drama
2003,JUL,Vasantham,Vikraman,"Daggubati Venkatesh, Aarti Agarwal, Kalyani, Tanikella Bharani, Sunil",Drama
2003,MAR,Raghavendra,Suresh Krissna,"Prabhas, Shweta Agarwal, Anshu, Brahmanandam, Murali Mohan",Action
2003,MAR,Vijayam,Singeetham Srinivasa Rao,"Raja, Gajala, Sunil, Murali Mohan",Comedy
2003,MAR,Jodi No.1,Pratani Ramakrishna Goud,"Uday Kiran, Venya, Srija, Kaushal",Romance
2003,FEB,Indiramma,Ammineni Madhava Sai,"Vijayashanti, Achyuth, Vijayakumar",Social
2003,FEB,Golmaal,P N Ramachandra Rao,"J. D. Chakravarthy, Neha, Ramesh Arvind, Meera Vasudevan, Giri Babu, Jayaprakash, Brahmanandam",Comedy
2003,FEB,Kabaddi Kabaddi,Venki,"Jagapati Babu, Kalyani, Surya, Jeeva",Comedy / Romance
2003,FEB,Utsaham,Allani Sridhar,"Sai Kiran, Sunitha Varma, Amar",Romance
2003,MAR,Gangotri,K. Raghavendra Rao,"Allu Arjun, Aditi Agarwal, Suman, Prakash Raj",Romance
2003,FEB,Fools,Dasari Narayana Rao,"Srinath, Gajala, Jayasudha, Kovai Sarala",Comedy / Romance
2003,JAN,Juniors,J. Pulla Rao,"Allari Naresh, Sherin, Pawan, Prakash Raj",Romance
2003,JAN,Pellam Oorelithe,S. V. Krishna Reddy,"Srikanth, Venu, Rakshita, Sangeetha, Brahmanandam, Sunil",Comedy
2003,JAN,Okkadu,Gunasekhar,"Mahesh Babu, Bhoomika Chawla, Prakash Raj, Ashish Vidyarthi",Action / Romance
2003,JAN,Ee Abbai Chala Manchodu,Agathiyan,"Ravi Teja, Sangeetha, Vani",Drama
2003,JAN,Evare Athagadu,Bhanu Shankar,"Vallabh, Jaya Seal, Priyamani, Brahmanandam",Romance
2003,JAN,Naaga,D. K. Suresh,"Jr. NTR, Sadha, Jennifer, Raghuvaran, Nassar",Action
2003,JUL,Praanam,Malli,"Allari Naresh, Sadha, Seetha, M. S. Narayana, Kovai Sarala",Romance
2003,JAN,Ammayilu Abbayilu,Ravi Babu,"Vijay, Mohit, Vidya, Sonu Sood, Devina, Swapna Madhuri",Romance
2003,APR,Hari Villu,B. Narsing Rao,"Bhanuchander, Haritha, Master Sai Subhakar, Baby Nitya",Drama
2003,JAN,Idi Maa Ashokgadi Love Story,Suresh Krissna,"Siva Balaji, Shweta Agarwal, Kanchi Kaul",Romance
2003,APR,Karthik,Murali Raju,"Mukesh, Kanishka",Romance
2003,JUL,Simhadri,S. S. Rajamouli,"Jr. NTR, Bhoomika Chawla, Ankitha, Nassar",Action
2003,APR,Tarak,Bala Sekharan,"N. T. Rathnaa, Sharmili, Ali",Romance
2003,JUN,Donga Ramudu & Party,Vamsi,"Srikanth, Laya, Chandra Mohan, Kaikala Satyanarayana",Comedy
2003,JUN,Oka Raju Oka Rani,Yogi M,"Ravi Teja, Namitha, Brahmanandam, Tanikella Bharani, M. S. Narayana",Romance
2003,JUN,Ninne Istapaddanu,Konda,"Tarun, Sridevi Vijayakumar, Anitha, Giri Babu",Romance
2003,MAY,Nijam,Teja,"Mahesh Babu, Rakshita, Raasi, Gopichand",Drama
2003,MAY,Aayudham,N. Shankar,"Rajasekhar, Sangita, Gurleen Chopra",Action
2003,MAY,Maa Babubommaki Pellanta,Raviraja Pinisetty,"Aravind, Gayathri Raguram, Ajay Raghavendra, M. S. Narayana",Comedy
2003,JUN,Palnati Brahmanayudu,B. Gopal,"Nandamuri Balakrishna, Sonali Bendre, Aarti Agarwal, Mukesh Rishi",Action
2003,MAY,Appudappudu,Chandra Siddhartha,"Raja, Sriya Reddy, Jayasudha, Kaikala Satyanarayana",Romance
2003,APR,Ottesi Cheputunna,E. Sathi Babu,"Srikanth, Sivaji, Sravanthi, Anitha Patel, Sunil",Comedy
2003,APR,Dhanush,Nallamothu Srinivasa Rao,"Vadde Naveen, Kiran Gill, Sivaji Raja, Brahmanandam",Action
2003,APR,Johnny,Pawan Kalyan,"Pawan Kalyan, Renu Desai, Raghuvaran, M. S. Narayana",Action
2003,APR,Amma Nanna O Tamila Ammayi,Puri Jagannadh,"Ravi Teja, Asin Thottumkal, Jayasudha, Prakash Raj, Ali",Drama
2003,APR,Magic Magic 3D,Jose Punnose,"Suraj Balajee, S.P. Balasubramaniam, Tirlok Malik, Pooja Kumar",Fantasy
2003,APR,Aithe,Chandrashekar Yeleti,"Sashank, Sindhu Tolani, Abhishek, Mohit",Thriller
2003,APR,Dil,V. V. Vinayak,"Nitin, Neha, Prakash Raj",Action / Romance
2005,AUG,123 from Amalapuram ,Varma,"Ravi Prakash, Raja Sridhar, Anil, Nithya Das, Dharmavarapu Subramanyam",Romance
2005,SEP,Okkade,Chandra Mahesh,"Srihari, Santhoshi, Mukesh Rishi",Action
2005,SEP,Mogudu Pellam O Dongodu,Venky,"Shriya Saran, Raja, Brahmanandam",Romance / Comedy
2005,SEP,Allari Bullodu,K. Raghavendra Rao,"Nitin, Trisha Krishnan, Rathi",Romance
2005,SEP,Good Boy,G Nageswara Reddy,"Rohith, Navneet Kaur",Romance
2005,SEP,Nayakudu,Kodi Ramakrishna,"Rajasekhar, Namitha",Action
2005,AUG,Adirindayya Chandram,Srinivasa Reddy,"Sivaji, Laya",Romance
2005,SEP,Veeri Veeri Gummadi Pandu,Nimmagadda Babu,"Ali, Sreekar Babu, Jayalalitha, Rajiv Kanakala",Romance
2005,AUG,Please Naaku Pellaindi,Gandhi,"Raghu, Rajiv Kanakala, Sruthi Malhotra, Soni Charishma, Venu Madhav",Comedy
2005,JUL,Super,Puri Jagannadh,"Akkineni Nagarjuna, Sonu Sood, Anushka Shetty, Ayesha Takia",Action
2005,AUG,Nuvvante Naakishtam,E. V. V. Satyanarayana,"Aryan Rajesh, Allari Naresh, Anuradha Mehta",Romance
2005,AUG,Athadu,Trivikram Srinivas,"Mahesh Babu, Trisha Krishnan",Action
2005,AUG,Nikkis Engagement,Rafi,"Surya, Vamsi, Rekha",Romance
2005,AUG,Premikulu,Jaya,"Yuvaraj, Rishi Girish, Kamna Jethmalani, Rajiv Kanakala, Rambabu",Romance
2005,JUL,Rendella Tarvatha,K B Anand,"Sreeram, Gopichand Lagadapati",Drama
2005,JUL,Siva,,"Pradeep, Saina",Romance
2005,JUL,Kanchanamala Cable TV,Parthasaradhi,"Srikanth, Lakshmi Rai, Raghu Babu, Brahmanandam",Comedy
2005,JUL,A Film by Aravind,Shekkar Suri,"Rajiv Kanakala, Ghazal Srinivas, Richard Rishi, Sherlyn Chopra",Thriller
2005,SEP,Political Rowdy,Adi,"Mohan Babu, Charmy Kaur, Prakash Raj, Abbas",Action
2005,AUG,Andhrudu,Paruchuri Murali,"Gopichand, Gowri Pandit, Sayaji Shinde",Romance/Action
2005,SEP,Chatrapathi,S. S. Rajamouli,"Prabhas, Shriya Saran, Bhanupriya",Action
2005,DEC,Jai Chiranjeeva,K. Vijaya Bhaskar,"Chiranjeevi, Sameera Reddy, Bhoomika Chawla, Arbaaz Khan",Comedy
2005,OCT,Bhageeratha,Rasool Ellore,"Ravi Teja, Shriya Saran, Prakash Raj",Family
2005,JUL,Nireekshana,N. Seetharam,"Aryan Rajesh, Sridevi Vijayakumar, Nagendra Prasad",Romance
2005,DEC,Gowtam SSC,P A Arun Prasad,"Navdeep, Sindhu Tolani, K. Vishwanath, Bhanupriya",Romance / Drama
2005,DEC,Alex,Rajesh Touchriver,"Haranath, Rambha, Sangeetha, Shiju, Kousha, Indu Anand",Drama
2005,DEC,Venkat Tho Alivelu,P Balaji,"Dilip, Sanjana, M. S. Narayana, Omkar, Anil",Romance
2005,DEC,Pourusham,,,Action
2005,DEC,Yuvakulu,Sai Venkat,"Kiran Tej, Sangeetha Tiwari, Abhinayasri",Romance
2005,DEC,Kaaki,Bobbili Bhanu,"Brahmaji, Gurleen Chopra",Action
2005,DEC,Maha Nandi,V. Samudra,"Sumanth, Srihari, Anushka Shetty",Action
2005,DEC,Mukha Chitram,S Babu,"Srirambaji, Haripriya",Romance
2005,DEC,Sri,Dasaradh,"Manoj Manchu, Tamanna",Action
2005,NOV,Vennela,Deva Kaushik,"Raja, Parvati Melton",Romance/Comedy
2005,NOV,Seenugadu Chiranjeevi Fan,Posala Radhakrishna,"Akula Vijay Vardhan, Venu Madhav, M. S. Narayana",Drama
2005,NOV,Ayinda Leda,Bharath,"Ali, Raksha, Kota Srinivasa Rao, Mallikarjuna Rao, Brahmanandam",Comedy
2005,NOV,Meenakshi,T Prabhakar,"Rajiv Kanakala, Kamalinee Mukherjee, Amit, Preethi Nigam",Romance
2005,NOV,Abhimaani,Sana Yadi Reddy,"Nakuul Mehta, Swetha Malhotra",Romance
2005,OCT,Moguds Pellams,Ranganath,"Sivaji Raja, Karthik, Rathi, Harika, Chandra Mohan, M. S. Narayana",Comedy
2005,OCT,Bhama Kalapam,K.V.V. Satyanarayana,"Aditya Om, Meghna Naidu, Pooja Bharati",Romance
2005,OCT,Vamsham,,"Nagababu, Chandramohan, Baladitya",Family Drama
2005,DEC,Maha Simham,Akkumurthy Babu Rao,"Mukkuraju, Rallapalli, Kallu Chidambaram, Swathi, Susheela",Drama
2005,OCT,Allari Pidugu,Jayanth C. Paranjee,"Nandamuri Balakrishna, Charmy Kaur, Katrina Kaif",Action
2005,JUL,Naa Oopiri,Kanmani,"Vadde Naveen, Sangeetha, Anjana, Sudha, M. S. Narayana",Romance
2005,OCT,Modati Cinema,Venkat Kuchipudi,"Navdeep, Poonam Bajwa, Brahmanandam",Romance
2005,JUN,Anukokunda Oka Roju,Chandra Sekhar Yeleti,"Jagapathi Babu, Charmme, Shashank",Thriller
2005,MAR,Okkade Kaani Iddaru,,Sanghavi,Thriller
2005,MAR,Slokam,Bharath,"Sai Kumar, Ambika, Madhu Sharma, K. Vishwanath",Drama
2005,FEB,Sravanamasam,Posani Krishna Murali,"Krishna, Nandamuri Harikrishna, Karthikeya, Nagababu, Suman, Vijaya Nirmala, Gajala, Kalyani, Keerti Chawla",Family
2005,FEB,Thanks,Manraj,"Vineeth, Rashmi Gautam",Romance
2005,FEB,Sankranthi,Muppulaneni Siva,"Venkatesh, Sneha, Siva Balaji, Sharwanand, Srikanth, Sangeetha",Drama
2005,FEB,Manasu Maata Vinadhu,V. N. Aditya,"Navdeep, Ankitha, Sandeep, Tanikella Bharani",Romance
2005,FEB,Dhairyam,Teja,"Nitin, Raima Sen, Tanikella Bharani",Action
2005,FEB,Orey Pandu,Tejas Dhanraj,"Sachiin Joshi, Sandali Sinha, Bhanupriya",Romance
2005,FEB,Evaru Nenu,Ramana Maharshi,Krishna,Drama
2005,FEB,Pandem,Sabhapati,"Jagapati Babu, Kalyani, Ramaraju, M. S. Narayana",Drama/comedy
2005,FEB,Keelu Gurram,Kodi Ramakrishna,"Rohit, Baladitya, Nakul, Rajesh, Tanu Roy",Romance
2005,FEB,786 O Khaidi Prema Katha,K S Nageswara Rao,"Sashikanth, Poonam Bhartke, Yana Sheik, Bramhanandam",Romance
2005,JAN,Evadi Gola Vaadidi,E. V. V. Satyanarayana,"Aryan Rajesh, Deepika Chikhalia, Brahmanandam",Comedy
2005,JAN,Dhana 51,R. Soorya Kiran,"Sumanth, Saloni Aswani",Action
2005,JAN,Naa Alludu,Vara Mullapudi,"Jr. NTR, Shriya Saran, Genelia D'Souza",Drama
2005,JAN,Bucchi Babu,T. Raju,"Krishnudu, Bobby, Abhinayasri",Romance
2005,JAN,Balu,A. Karunakaran,"Pawan Kalyan, Shriya Saran, Neha Oberoi, Gulshan Grover, Milind Gunaji",Action / Romance
2005,JAN,Pelli Kaani Pellam Avuthundi,Venkata Ganesh,"Venu Madhav, Mumtaj, Radhika Chowdhary",Romance
2005,JUL,Oka Oorilo,Ramesh Verma,"Raja, Tarun, Saloni Aswani",Romance
2005,MAR,Prayatnam,P Sunil Kumar Reddy,"Babloo Prithviraj, Sujitha, Tanu Roy",Romance
2005,MAR,Swami Shankar,Madhusudhan Rao,"Dinesh, Sriram, Brahmanandam",Drama
2005,JAN,Nuvvostanante Nenoddantana,Prabhu Deva,"Siddharth, Trisha Krishnan, Srihari",Romance/Drama
2005,MAR,Soggadu,Ravi Babu,"Tarun, Aarti Agarwal",Romance/Drama
2005,MAR,Chakram,Krishna Vamsi,"Prabhas, Asin Thottumkal, Charmme",Action / Drama
2005,JUN,Devi Abhayam,Srinivasa Reddy,"Sai Kiran, Raasi, Prema, Prabhakar",Fantasy
2005,JUN,Anna Sainyam,,"Lakshmi Parvathi, Vinod Kumar, Koteswara Prasad, Gokina Rama Rao",Drama
2005,JUN,Kadante Avunanile,O S Avinash,"Vamsi Krishna, Naveena, Suman, Chandra Mohan, Giribabu, Brahmanandam",Romance
2005,JUN, Meghamala O Pellam Gola,Sanjay,"Santhosh Pawan, Tanu Roy",Comedy
2005,JUN,Andarivadu,Srinu Vaitla,"Chiranjeevi, Tabu, Rimi Sen",Action
2005,MAY,Narasimhudu,B. Gopal,"Jr. NTR, Ameesha Patel, Sameera Reddy",Action
2005,MAY,Kumkuma,Jyothindranath Vemuri,"Siva Balaji, Jayant, Seema, Ranganath, Sivaji Raja",Romance
2005,MAY,Bhadra,Boyapati Srinu,"Ravi Teja, Meera Jasmine",Action
2005,MAY,Athanokkade,Surender Reddy,"Kalyan Ram, Sindhu Tolani, Ashish Vidyarthi, Brahmanandam",Action
2005,JUN,Jagapathi,Jonnalagadda Srinivasa Rao,"Jagapati Babu, Rakshita, Sai Kiran, Navneet Kaur, Pradeep Rawat",Masala
2005,APR,10 The Strangers,Rajesh Touchriver,"Nagababu, Jyothirmayee, Nassar, Brahmaji, Sherry",Drama / Romance
2005,APR,Andagadu,,Rajendra Prasad,
2005,MAY,Naa Praanam Kante Ekkuva,Sashi Preetham,"Neeraj, Madhu Shalini, Vamsi Varma, Jeevan Sekhar",Romance
2005,APR,Avunanna Kaadanna,Teja,"Uday Kiran, Sadha",Romance
2005,APR,Muddula Mogudu Allari Pellam,Ramachandrudu,Ali,Comedy
2005,APR,Bunny,V. V. Vinayak,"Allu Arjun, Gowri Munjal, Prakash Raj",Action
2005,APR,Ayodhya,Kodi Ramakrishna,"Krishna, Suman, Vadde Naveen",Drama
2005,APR,Subhash Chandra Bose,K. Raghavendra Rao,"Venkatesh, Genelia D'Souza, Shriya Saran, Prakash Raj",Patriotism
2005,APR,Hungama,S. V. Krishna Reddy,Venu Madhav,Comedy
2005,APR,Mr. Errababu,K Kishore,"Sivaji, Roma, Nagendra Babu, Sunil, Satyanarayana, Venu Madhav",Comedy
2006,DEC,Pokiri,Indira ProductionsVaishno Academy,₹66.00 Crore,All Time Blockbuster
2006,DEC,J A N,Devadasu,YVS Chowdary,"Ram, Ileana D'Cruz"
2007,AUG,Yamagola,Srinivas Reddy,"Srikanth, Venu, Reemma Sen",Comedy
2007,JUL,Toss,Priyadarshini Ram,"Upendra, Priyamani",Drama
2007,AUG,Yamadonga,S. S. Rajamouli,"Jr. NTR, Priyamani, Mamta Mohandas",Fantasy
2007,AUG,Allare Allari,Muppalaneni Shiva,"Allari Naresh, Venu, Mallika Kapoor, Parvati Melton",Comedy
2007,JUL,Shankardada Zindabad,Prabhu Deva,"Chiranjeevi, Srikanth, Karishma Kotak",Drama
2007,SEP,Kalyanam,Murali Krishna,"Chandu, Samyogitha",Drama
2007,JUL,Sathyabhama,Srihari Nanu,"Sivaji, Bhumika Chawla, Chandramohan",Drama
2007,JUN,Boys And Girls,V. Rajagopal,"Arjun Singh, Saila Lopez",Romance
2007,JUL,Aa Roje,K S Kumar,"Brahmanandam, Yaswant, Soumya, M. S. Narayana",Comedy
2007,JUN,Bahumathi,S. V. Krishna Reddy,"Venu, Sangeeta, Pavala Syamala",Drama
2007,JUN,Chandrahas,Shiva Shakti Datta,"Harinath Policharla, Krishna, Sarath Babu",Drama
2007,JUN,Dubai Seenu,Srinu Vaitla,"Ravi Teja, Nayantara",Comedy
2007,SEP,Hello… Premistaraa,Raj Kumar,"Sairam Shankar, Sheela, Chandra Mohan",Romance
2007,MAY,Operation Duryodhana,Posani Krishna Murali,"Srikanth, Chalapathi Rao, Mumaith Khan",Political
2007,JUL,Lakshyam,Sriwass,"Gopichand, Anushka",Action
2007,SEP,Chandamama,Krishna Vamsi,"Navdeep, Kajal Aggarwal, Sindhu Menon, Siva Balaji",Drama
2007,NOV,Athadevaru,Teertha,"Keshava, Tejasri",Comedy
2007,SEP,Chirutha,Puri Jagannadh,"Ram Charan Teja, Neha Sharma",Action
2007,MAY,Bhookailas,Siva Nageswara Rao,"Venu Madhav, Mumaith Khan",Comedy
2007,DEC,Bangaru Konda,Kolla Nageswara Rao,"Rishi, Navaneet Kaur",Drama
2007,DEC,Don,Lawrence,"Nagarjuna, Anushka",Action
2007,DEC,Anasuya,Ravi Babu,"Bhumika Chawla, Abbas",Thriller
2007,DEC,Mantra,Osho Tulasiram,"Sivaji, Charmee Kaur, Jeeva",Thriller
2007,NOV,Takkari,Amma Rajasekhar,"Nithiin, Sadha, Prakash Raj",Comedy
2007,SEP,Vijayadasami,V. Samudra,"Kalyan Ram, Saikumar, Vedhika",Action
2007,NOV,Seema Sastry,G. Nageswara Reddy,"Allari Naresh, L. B. Sriram, Kovai Sarala, Ali, J P",Comedy
2007,NOV,Bhajantreelu,M. S. Narayana,"Sivaji, Savyasachi, Susmitha",Drama
2007,OCT,Nee Navve Chaalu,Mallikharjuna Eluri,"Sivaji, Sindhu Tolani, Brahmanandam",Drama
2007,OCT,Athidi,Surender Reddy,"Mahesh Babu, Amrita Rao",Action
2007,OCT,Tulasi,Boyapati Srinu,"Venkatesh, Nayantara, Ramya Krishnan",Action
2007,SEP,Godava,A. Kodandarami Reddy,"Vaibhav Reddy, Sayaji Shinde, Shraddha Arya",Action
2007,SEP,Happy Days,Sekhar Kammula,"Varun Sandesh, Tamannaah Bhatia, Nikhil, Gayatri Rao",Drama
2007,NOV,Nava Vasantham,K Shahjahan,"Tarun Kumar, Priyamani, Sunil",Drama
2007,MAY,Raju Bhai,R Suryakiran,"Manoj Manchu, Sheela, Dharmavarapu Subramanyam",Action
